CIF_Name,Neigh_Order,sym,is_new_sym,Energy
Mg1H1_MgF_sym166_1_0,1_Neigh,166,False,-2.505
Mg1H1_MgF_sym51_4_0,1_Neigh,51,False,-2.419
Mg1H1_ZnF_sym166_1_0,1_Neigh,166,False,-2.415
Mg1H1_BeCl_sym166_0_0,2_Neigh,166,False,-2.383
Mg1H1_CdF_sym166_1_0,2_Neigh,166,False,-2.359
Mg1H1_BeF_sym166_1_0,1_Neigh,166,False,-2.29
Mg1H1_MgCl_sym166_7_0,2_Neigh,166,False,-2.197
Mg1H1_BeF_sym186_5_0,1_Neigh,186,False,-2.084
Mg1H1_BeF_sym123_2_0,1_Neigh,123,False,-2.034
Mg1H1_MgCl_sym186_6_0,2_Neigh,186,False,-2.022
Mg1H1_MgCl_sym166_1_0,2_Neigh,166,False,-1.867
Mg1H1_CdCl_sym166_1_0,2_Neigh,166,False,-1.636
